Date,pred,P/L
20220608,-2.175429672188029,300.0
20220609,11.251794891084458,820.2
20220610,-5.28597315144971,190.0
20220613,-7.5622113297411655,195.0
20220614,21.19145408400315,25.0
20220615,-7.114852721634855,135.0
20220616,-7.334525515821676,140.0
20220617,21.534376624152245,-325.0
20220620,17.587059310733363,-145.0
20220621,14.328720775542664,-70.0
20220622,-5.613607352950201,-300.0
20220624,3.6317033914762256,5.0
20220627,12.952418499103336,-69.0
20220628,-5.143379139247118,-19.0
20220701,15.287732258436122,-105.0
20220707,4.393191382479062,420.62
20220708,4.234645012328782,-195.0
20220711,12.772199309035134,-60.0
20220712,16.130643574311872,-70.0
20220713,7.820935091237434,-65.0
20220714,-1.2022871502356,10.0
20220715,3.2281019298010376,10.0
20220719,3.7193508560270856,125.0
20220720,3.794451370769,-175.0
20220721,5.400556628150605,-370.0
20220722,-4.630195907114148,-330.0
20220725,3.666272528183892,-245.0
20220726,18.284426679849414,-225.0
20220727,13.155273138322077,-200.0
20220728,3.0815311798772944,-300.0
20220729,0.2305679197627395,-171.0
20220801,7.829956929922989,-265.0
20220808,3.6483846237643864,90.0
20220809,-5.4827179073531465,15.0
20220810,6.463128826458884,130.0
20220812,12.027171100656695,60.0
20220815,2.5438389307427256,-160.0
20220816,6.181819881318709,-140.0
20220817,11.080993094381578,-105.0
20220818,5.667540158675701,-125.0
20220819,0.553241467094403,105.0
20220822,-5.132067767024413,-135.0
20220823,-7.210409547089272,-57.0
20220824,8.83625170595088,-87.0
20220825,-6.298631967989092,87.0
20220826,8.99070981594503,-5.0
20220829,18.00699151721907,-153.0
20220830,12.860311474132931,-63.0
20220831,16.29581938830545,-155.0
20220901,2.691116171003778,-90.0
20220906,0.9128431225817812,40.0
20220907,-5.251229462680132,55.0
20220908,0.019165220693916574,75.0
20220909,3.9348366744402634,65.0
20220912,-0.5383493498435854,80.0
20220913,-2.2536973424741222,110.0
20220914,-2.0889841107348084,40.0
20220915,14.513181215160005,137.17
20220916,3.3834706681765794,80.0
20220920,-0.4576085143544839,170.0
20220921,-2.5379100705424698,280.0
20220922,2.3274686237839983,330.0
20220926,2.36558074137821,290.0
20220928,3.438292437385333,-75.0
20220929,-9.799770647938875,-95.0
20220930,0.6246109578188683,95.0
20221003,10.074206591190949,350.0
20221005,-2.7612428747350575,65.0
20221007,-6.399509280456487,15.0
20221011,15.371460315914694,-125.0
20221012,4.150092884615902,5.0
20221013,-3.8094085646288476,40.0
20221014,0.057493700716764184,-165.0
20221017,4.202118108222817,-245.0
20221018,-4.961947354010036,-170.0
20221019,-1.4009454392123954,-185.0
20221020,-1.4281384742261163,-240.0
20221021,3.4508883320934567,70.86
20221024,-0.396753040534886,-255.0
20221025,0.4296739340694573,-195.0
20221026,3.4945379416677183,-390.0
20221027,-4.502503060118556,-405.0
20221028,-8.620231470567317,-40.0
